"ID","CODE","NAME","HOLDABLE"
13,"carrel","",1
114,"analytic","",0
5,"archives","",0
3,"audio-cass","",1
4,"audio-cd","",1
117,"audiojrnl","",1
176,"audio-vis","",0
118,"av-3day","",0
116,"av-7day","",0
11,"bd-jrnl-nc","",0
6,"book","",1
9,"book-1day","",0
125,"book-21day","",1
8,"book-30day","",1
7,"book-nc","",0
10,"bound-jrnl","",1
12,"broadside","",0
126,"calculator","",0
127,"camcorder","",0
17,"cdnetwork","",0
15,"cd-rom","",1
131,"cd-rom-4hr","",0
104,"cdrom-jrnl","",0
16,"cd-rom-nc","",0
18,"classroom","",0
19,"computfile","",0
20,"cur-per","",0
21,"cur-per-nc","",0
52,"cylinder","",0
150,"default-hs","",0
132,"digitalcam","",0
22,"diskette","",1
23,"diskette-nc","",0
25,"doc-nc","",0
24,"document","",1
134,"e-book","",0
135,"e-database","",0
136,"e-exhibit","",0
137,"e-index","",0
138,"e-jrnl","",0
140,"e-newslet","",0
26,"equip-2hr","",0
28,"equip-3day","",0
27,"equip-3hr","",0
97,"equipment","",0
166,"hs-cover","",0
167,"hs-dvdplyr","",0
171,"hs-eguide","",0
172,"hs-index","",0
112,"hs-jrlnc","",0
174,"hslaptop","",0
169,"hs-vdvd","",0
170,"hs-vdvd3","",0
168,"hswireless","",0
29,"ILL","",0
30,"internet","",0
32,"ivy-book","",1
31,"ivy-jrnl","",1
107,"ivy-lp","",1
33,"ivy-mcard","",1
34,"ivy-mfiche","",1
35,"ivy-mfilm","",1
36,"ivy-news","",0
37,"ivy-score","",1
38,"ivy-thesis","",1
142,"jrnl1wk","",1
143,"jrnl2wk","",0
144,"jrnl4hr","",0
14,"juv-book","",1
111,"laptop","",0
145,"lcdpanel","",0
39,"manuscript","",0
40,"map","",1
41,"map-nc","",0
175,"mediaclass","",0
42,"meeting-rm","",0
45,"microcard","",1
43,"microfiche","",1
44,"microfilm","",1
102,"mss-map","",0
51,"muscore-nc","",0
47,"music-cass","",1
48,"music-cd","",1
49,"music-lp","",1
50,"musi-score","",1
53,"newspaper","",0
54,"officecopy","",0
173,"openreel","",0
55,"pamphlet","",0
57,"permres-2d","",0
56,"permres-2h","",0
58,"poster","",1
96,"poster-nc","",0
59,"prints","",0
151,"projsystem","",0
152,"rareav","",0
2,"rarebook","",0
60,"rarebook","",0
153,"rarejrnl","",0
64,"realia","",0
65,"reference","",0
66,"report","",1
98,"rsrv-aud","",0
119,"rsrv-av-nc","",0
69,"rsrv-bk-24","",0
70,"rsrv-bk-2d","",0
123,"rsrv-bk-2h","",0
68,"rsrv-bk-4","",0
122,"rsrv-bk-7d","",0
120,"rsrv-bk-nc","",0
67,"rsrv-book","",0
71,"rsrv-cas2d","",0
73,"rsrv-cass","",0
74,"rsrv-cd","",0
75,"rsrv-cdrom","",0
76,"rsrv-disk","",0
121,"rsrv-perm","",0
78,"rsrv-pers","",0
81,"rsrv-phcop","",0
83,"rsrv-pho4h","",0
80,"rsrv-phoco","",0
79,"rsrv-prs2d","",0
85,"rsrv-vcass","",0
88,"rsrv-vdisc","",0
110,"rsrv-vdvd","",0
87,"rsrv-vid24","",0
86,"rsrv-vid4","",0
89,"slide","",1
105,"specloan","",0
90,"support","",0
92,"thesis-4th","",1
91,"thesis-dis","",1
93,"tibet-book","",1
106,"turner-col","",0
1,"unknown","",1
162,"vdCDROM","",0
94,"video-cass","",0
95,"video-disc","",0
108,"video-dvd","",0
164,"videojrnl","",0
165,"website","",0
